ID,Company,Approval Memo,Type of Company ,Incubaton Track,Industry,Country of Origin,Funding Stage,Funding Since Joining QSTP,Sources of Funding,Status,Program Join Date,Graduation Date,Place of Incorporation,Registration Status,Date of Incorporation,Lease / Incubation Agreement,Agreement Signing Date,Agreement Start Date, Agreement Expiry Date,QSTP License Status,License Release Date,License Expiry Date,Location,Leased Space, Total Employees, Qatari Employees, Male Employees, Female Employees,"Researchers, Scientists, Engineers (RSE)", Qatari RSE, Male RSE, Female RSE,  Investment (2024) , Revenue (2024),"a
", Additional Information,Remarks,Founder / Licensee Manager,Email,Report Date,Approval Memo Status2,Registration Status CR,Registration (MOCI/QFC),CR Status,Lease / Incubation Agreement Status,Agreement Start Date2,Agreement Expiry Date, License,Remarks/ Registration,Registration Satus ,Step 1 (doc & Info recive ),Step 2,Step 3 (CR) ,Step 4
15,Engineering Solutions QSTP-LLC,14-Feb-10,Enterprise,NA,HardwareTech,Qatar,NA,,NA,Active,,,QSTP,Completed,14-Feb-10,Completed,24-May-10,,31-Mar-26,Completed,01-Apr-23,31-Mar-26,IC Unit 355,IC Unit 355,3,0,3,0,3,0,3,0," 9,894,492 "," 9,977,951 ","Engineering Solutions is a technology development and deployment company. Particular focus is on telecommunications for critical applications, safety and security, industrial electronics and technical education and training. Scope covers requirements analysis, R&D, design, engineering, commissioning and handover. Recent projects included the development of microwave systems for tankers, high-end driver simulators and 3D-printed prototypes for surgical controllers.",,,Emad Sudqi Khader,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
16,Thales QSTP-LLC,17-Jun-11,Enterprise,NA,AerospaceTech,Lebanon,NA,,NA,Active,,,QSTP,Completed,17-Jun-11,Completed,31-Jan-16,,31-Jul-26,Completed,01-Aug-25,31-Jul-26,IC Units 379 & 389,IC Units 379 & 389,4,0,4,0,4,0,4,0," 3,650,335 "," 3,857,904 ","Thales’ presence in QSTP is mainly to support Qatar Airways for ÍFEC activities. Thales’ QSTP setup is unique within its global IFEC network and dedicated only for Qatar Airways. Over the years, Thales continuously improved the technology of the systems provided to Qatar Airways on many different aircraft fleets.",,,Michel Le Petit,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
17,Siemens W.L.L. QSTP-B,28-Jun-11,Enterprise,NA,ClimateTech,Qatar,NA,,NA,Active,,,QSTP,Completed,28-Jun-11,Completed,04-Oct-11,,14-Sep-25,Completed,01-Feb-25,31-Jan-26,Tech2 Unit 206-02,Tech2 Unit 206-02,6,0,6,0,0,0,0,0," 59,940 ", -   ,"The Siemens Innovation Center at QSTP is actively engaged in research and development activities that meet Qatar’s national objectives. Development projects include software development, automation engineering, smart data analytics and healthcare applications as well as facilities to undertake trainings, being fully committed to knowledge transfer enabling the local population.",,,Helmut Struve,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
18,Mitsubishi Corporation QSTP-B,25-Jan-12,Enterprise,NA,ClimateTech,Japan,NA,,NA,Active,,,QSTP,Completed,25-Jan-12,Completed,01-Feb-12,,30-Apr-26,Completed,01-May-24,30-Ap-2025,IC Unit 307,IC Unit 307,5,0,5,0,3,0,3,0," 2,165,959 "," 2,235,053 ",Mitsubishi Water Technology (MWT) was established in 2012 to introduce and develop Sea Water Reverse Osmosis (SWRO) technology in Qatar that takes into account the Gulf region’s unique sea water conditions. Mitsubishi Corporation and partner company are actively continuing their contribution to the state of Qatar through the utilization of locally developed water technology and know-how.,,,Mr. Yukio Mafune ,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
19,Iberdrola QSTP-LLC ,01-Jan-16,Enterprise,NA,EnergyTech,Spain,NA,,NA,Active,,,QSTP,Completed,01-Jan-16,Completed,01-May-16,,30-Jun-27,Completed,01-May-25,30-Apr-26,Tech2 Units 204 & 205,Tech2 Units 204 & 205,40,0,33,7,32,0,26,6,, Report Not Submitted ,"IBERDROLA is a leading multinational group in the energy sector: number one Spanish energy group, one of the Spanish main companies on the Ibex 35 by market capitalization, the world leader in renewable energies, and one of the world’s top power companies. Iberdrola Technology Center at QSTP works at the intersection of the key Energy, Environment and ICT challenges aligned with Qatar Research Vision and Needs, undertaking cutting-edge technology projects in the areas of smart grids, advanced control, energy efficiency and integration of renewable distributed generation into the grid.",,,Santiago Banales Lopez,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
20,STA QSTP-LLC,28-Nov-16,Enterprise,NA,DefenseTech,Qatar,NA,,NA,Active,,,QSTP,Completed,28-Nov-16,Completed,10-Oct-17,,31-Oct-26,Completed,01-Nov-25,31-Oct-26,IC Unit 382,IC Unit 382,3,1,2,1,3,1,2,1,, Report Not Submitted ,"STA offers capabilities that enable cutting-edge data fusion & analytics for Enterprise, Government, and Military, and has technical development, training, and operational presence in the QSTP. STA has deep experience developing mission critical hardware and software integrated solutions for government and military agencies, with deployments of integrated solutions to military and security entities. ",,,Khalid Mohammad Y Al-Ali ,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
21,Barzan Holdings QSTP-LLC,05-Dec-16,Enterprise,NA,DefenseTech,Qatar,NA,,NA,Active,,,QSTP,Completed,05-Dec-16,Completed,14-Jun-18,,13-Jun-38,Completed,01-Oct-23,30-Sep-26,Tech4,Tech4,227,119,160,67,13,24,2,11,, Report Not Submitted ,"Barzan Holdings is responsible for empowering the military capabilities of the Qatari Armed Forces. This will be achieved by partnering with leading international companies and organizations in the defense Field.

Acting as a commercial gateway for the defense industry in Qatar, Barzan Holdings is open for business and provides opportunities for international companies to collaborate on R&D, facilitate knowledge transfer and create innovative defense and security technologies.",,,Khalid Mohammad Y Al-Ali ,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
22,MaktApp QSTP-LLC (Fatora),14-Dec-16,Enterprise,NA,FinTech,Qatar,NA,,NA,Active,,,QSTP,Completed,14-Dec-16,Completed,15-Dec-22,,15-Dec-25,Completed,16-Dec-24,15-Dec-25,IC Unit 301,IC Unit 301,24,1,10,14,0,0,-4,4," 944,995 "," 738,759 ","Fatora is one of MaktApp QSTP-LLC outputs, which was released as a brand specializing in financial technology solutions (Fintech) in 2018, headquartered in Doha, Qatar. 
The main goal which the platform seeks for is to provide diverse and flexible payment solutions to SMEs. On the other hand, it offers specialized products for great companies and organizations.",,,Saleh Mubarak A S Al-Mansouri,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
23,"Qatar Foundation for Education, Science and Community Development (QEERI)",21-Dec-16,Enterprise,NA,EnergyTech,Qatar,NA,,NA,Active,,,QSTP,Completed,21-Dec-16,Completed,01-Jan-17,,31-Dec-26,Completed,01-Jan-25,31-Dec-26,Solar Test Site,Solar Test Site,3,2,3,0,3,2,3,0,,,,,,Mohammed Ali M A Al-Azba ,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
24,BK Systems QSTP-LLC,09-Mar-17,Enterprise,NA,DefenseTech,Qatar,NA,,NA,Active,,,QSTP,Completed,09-Mar-17,Completed,Sub-Lease,,Sub-Lease,Completed,01-Oct-24,30-Sep-26,Tech4,Tech4,1,0,1,0,0,0,,0, -   , -   ,Barzan Holdings affiliated company,,,Mohammed Ahmad A G Al-Marri,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
25,Meddy QSTP-LLC  (HeliumDoc),22-Mar-17,Enterprise,NA,HealthTech,Qatar,NA,,NA,Active,,,QSTP,Completed,22-Mar-17,Completed,01-Apr-19,,31-Mar-26,Completed,01-Apr-23,31-Mar-26,IC Unit 325,IC Unit 325,2,-,2,0,-,-,,-,, Report Not Submitted ,"Founded in 2016, the largest doctor booking platform in Qatar – with over 200,000 monthly users – Meddy.com helps patients find the doctors best suited to their needs, based on a wide array of filters and reviews, and book appointments with them. Meddy works with major healthcare providers in the country. The platform is available on iOS, Android and Web. Meddy also helps clinics improve their online presence and acquire new patients with a suite of products for them and their marketing teams to manage bookings, patient reviews, and analytics",,,Abed Alkarim Khattab,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
26,Contactless QSTP-LLC,18-Jun-17,Enterprise,NA,Enterprise SaaS,Qatar,NA,,NA,Active,,,QSTP,Completed,18-Jun-17,Completed,01-Mar-25,,01-Feb-26,Completed,01-Jul-24,28-Feb-26,Tech2 Unit 206-06,Tech2 Unit 206-06,4,,2,2,,,,,,,"Powerful and scalable for all event types and sizes, yet simple enough for any experience level, wether you are an eventech guru or pushed into the game, MICEtribe will give you and your team all of the needed tools to run a successful event.

With MICEtribe your team can create in-person, virtual or hybrid event experiences with few simple clicks.",,,Judith Marie Camacho ,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
27,BQ Solutions QSTP-LLC,20-Sep-17,Enterprise,NA,DefenseTech,Qatar,NA,,NA,Active,,,QSTP,Completed,20-Sep-17,Completed,Sub-Lease,,Sub-Lease,Completed,11-Jan-25,31-Oct-26,Tech4,Tech4,90,10,73,17,0,2,,1,, Report Not Submitted ,Barzan Holdings affiliated company,,,Ahmed Ali A F Al-Kuwari,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
28,Rimads QSTP-LLC,05-Oct-17,Enterprise,NA,HealthTech,Qatar,NA,,NA,Active,,,QSTP,Completed,05-Oct-17,Completed,08-Oct-17,,30-Apr-26,Completed,01-Nov-25,30-Apr-26,IC Unit 360,IC Unit 360,35,5,35,0,15,0,13,2,, Report Not Submitted ,"Rimads is a technology company striving to change lives across the globe through an innovative healthcare solution named Avey. Behind Avey is a brain that consists of a proprietary AI algorithm that taps into a sophisticated and continuously evolving memory of medical concepts. Using the most accurate AI medical algorithm in the world, Avey is working to ensure the accessibility of healthcare for everyone. Therefore, we developed a technology to be adopted in ways that are inclusive and equitable.",,,Mohammad Hussein Hammoud,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
29,IRD QSTP-LLC,08-Oct-17,Enterprise,NA,ClimateTech,Qatar,NA,,NA,Active,,,QSTP,Completed,08-Oct-17,Completed,09-Oct-17,,31-Oct-26,Completed,01-Nov-24,31-Oct-26,IC Unit 386,IC Unit 386,3,0,2,1,3,0,2,1," 914,169 "," 1,153,485 ","Infrastructure Research & Development (IRD) was established at QSTP to support the infrastructure sector in developing and implementing innovative research and technology. IRD provides R&D and consultancy services related to green construction, sustainable energy, construction quality, and environmental protection. Services include the audit and certification of construction materials, improved asphalt & concrete designs, failure investigations, asset management, staff training, and building capacity.",,,Khaled Elgamil Hassan Radwan ,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
30,Rheinmetall Barzan Advanced Technologies  QSTP-LLC ,13-Nov-17,Enterprise,NA,DefenseTech,Qatar,NA,,NA,Active,,,QSTP,Completed,13-Nov-17,Completed,Sub-Lease,,Sub-Lease,Completed,01-Oct-23,30-Sep-26,Tech4,Tech4,81,8,61,20,46,3,,13," 45,642,290 "," 66,200,802 ",Barzan Holdings affiliated company,,,Faik Eken ,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
31,Barzan Maintenance Shield QSTP-LLC ,03-Jun-18,Enterprise,NA,DefenseTech,Qatar,NA,,NA,Active,,,QSTP,Completed,03-Jun-18,Completed,Sub-Lease,,Sub-Lease,Completed,01-Oct-23,30-Sep-26,Tech4,Tech4,169,10,166,3,0,7,,1,, Report Not Submitted ,Barzan Holdings affiliated company,,,Sultan Al-Kuwari,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
32,Black Oryx QSTP-LLC,13-Jun-18,Enterprise,NA,DefenseTech,Qatar,NA,,NA,Active,,,QSTP,Completed,13-Jun-18,Completed,Sub-Lease,,Sub-Lease,Completed,01-Oct-23,30-Sep-26,Tech4,Tech4,0,0,0,0,0,0,,0,, Report Not Submitted ,Barzan Holdings affiliated company,,,Mohammed Ahmad A G Al-Marri,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
33,Barood Factory QSTP-LLC ,29-Jul-18,Enterprise,NA,DefenseTech,Qatar,NA,,NA,Active,,,QSTP,Completed,29-Jul-18,Completed,Sub-Lease,,Sub-Lease,Completed,01-Oct-23,30-Sep-26,Tech4,Tech4,86,10,86,0,0,7,,0,, Report Not Submitted ,Barzan Holdings affiliated company,,,Mohammed Ahmad A G Al-Marri,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
34,Barzan Industrial Group QSTP-LLC ,30-Jul-18,Enterprise,NA,DefenseTech,Qatar,NA,,NA,Active,,,QSTP,Completed,30-Jul-18,Completed,Sub-Lease,,Sub-Lease,Completed,01-Oct-23,30-Sep-26,Tech4,Tech4,59,7,50,9,1,1,,0,, Report Not Submitted ,Barzan Holdings affiliated company,,,Anzan Khatem Al-Naimi ,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
35,B.Secure QSTP-LLC,05-Aug-18,Enterprise,NA,DefenseTech,Qatar,NA,,NA,Active,,,QSTP,Completed,05-Aug-18,Completed,Sub-Lease,,Sub-Lease,Completed,01-Oct-23,30-Sep-26,Tech4,Tech4,0,0,0,0,0,0,,0,, Report Not Submitted ,Barzan Holdings affiliated company,,, Mohammed Ahmed Al-Mullah ,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
36,Technology Bridge for Research and Development QSTP-LLC,07-Aug-18,Enterprise,NA,EnergyTech,Russia,NA,,NA,Active,,,QSTP,Completed,07-Aug-18,Completed,01-Dec-18,,30-Nov-27,Completed,03-Feb-25,30-Nov-25,"Tech1 Units 210, 211 & 212","Tech1 Units 210, 211 & 212",4,0,4,0,2,0,2,0," 6,343,806 "," 54,792,679 ","Technology Bridge R&D is a subsidiary of Rosneft Oil Company, the leader of Russia’s petroleum industry, and the largest publicly traded petroleum company in the world. One of the strategic shareholders of the Company is Qatar Investment Authority. 
Technology Bridge R&D is a full-scale representative office of Rosneft, performing scientific, technical, engineering, and educational activities. It also functions to promote various areas of the company’s business in the region.",,,Nikolay Portnov  ,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
37,Rimal QSTP-LLC,03-Sep-18,Enterprise,NA,HealthTech,Qatar,NA,,NA,Active,,,QSTP,Completed,03-Sep-18,Completed,Sub-Lease,,Sub-Lease,Completed,01-Oct-23,30-Sep-26,Tech4,Tech4,0,0,0,0,0,0,,0,, Report Not Submitted ,Barzan Holdings affiliated company,,,Mohammed Ahmad A G Al-Marri,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
38,Barq QSTP-LLC ,03-Oct-18,Enterprise,NA,DefenseTech,Qatar,NA,,NA,Active,,,QSTP,Completed,03-Oct-18,Completed,Sub-Lease,,Sub-Lease,Completed,01-Oct-23,30-Sep-26,Tech4,Tech4,0,0,0,0,0,0,,0,, Report Not Submitted ,Barzan Holdings affiliated company,,, Mohammed Ahmed Al-Mullah ,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
